5,10,1,,t,,1,
10,20,2,,l,,1.5,
15,30,3,,l,,1.666666667,
20,40,4,,l,,1.75,
25,50,5,,t,,1.8,1.774823935
30,60,6,,l,,1.833333333,
35,70,7,,l,,1.857142857,
40,80,8,,l,,1.875,
45,90,9,,l,,1.888888889,
50,100,10,,l,,1.9,
55,110,11,,l,,1.909090909,
60,120,12,,l,,1.916666667,
65,130,13,,l,,1.923076923,
70,140,14,,l,,1.928571429,
75,150,15,,l,,1.933333333,
80,160,16,,l,,1.9375,
85,170,17,,l,,1.941176471,
90,180,18,,t,,1.944444444,1.94280977
95,190,19,,l,,1.947368421,
100,200,20,,l,,1.95,
105,210,21,,t,,1.952380952,
110,220,22,,l,,1.954545455,
115,230,23,,l,,1.956521739,
120,240,24,,l,,1.958333333,
125,250,25,,l,,1.96,
130,260,26,,l,,1.961538462,
135,270,27,,l,,1.962962963,
140,280,28,,l,,1.964285714,
145,290,29,,l,,1.965517241,
150,300,30,,l,,1.966666667,
155,310,31,,l,,1.967741935,
160,320,32,,l,,1.96875,
165,330,33,,l,,1.96969697,
170,340,34,,l,,1.970588235,
175,350,35,,l,,1.971428571,
180,360,36,,l,,1.972222222,
185,370,37,,l,,1.972972973,
190,380,38,,l,,1.973684211,
195,390,39,,l,,1.974358974,
200,400,40,,l,,1.975,
205,410,41,,l,,1.975609756,
210,420,42,,l,,1.976190476,
215,430,43,,t,,1.976744186,1.976467312
220,440,44,,t,,1.977272727,
225,450,45,,l,,1.977777778,
230,460,46,,l,,1.97826087,
235,470,47,,l,,1.978723404,
240,480,48,,l,,1.979166667,
245,490,49,,l,,1.979591837,
250,500,50,,l,,1.98,
255,510,51,,l,,1.980392157,
260,520,52,,l,,1.980769231,
265,530,53,,l,,1.981132075,
270,540,54,,l,,1.981481481,
275,550,55,,l,,1.981818182,
280,560,56,,l,,1.982142857,
285,570,57,,l,,1.98245614,
290,580,58,,l,,1.982758621,
295,590,59,,l,,1.983050847,
300,600,60,,l,,1.983333333,
305,610,61,,l,,1.983606557,
310,620,62,,t,,1.983870968,1.983738758
315,630,63,,t,,1.984126984,
320,640,64,,l,,1.984375,
325,650,65,,l,,1.984615385,
330,660,66,,l,,1.984848485,
335,670,67,,l,,1.985074627,
340,680,68,,l,,1.985294118,
345,690,69,,l,,1.985507246,
350,700,70,,l,,1.985714286,
355,710,71,,l,,1.985915493,
360,720,72,,l,,1.986111111,
365,730,73,,l,,1.98630137,
370,740,74,,l,,1.986486486,
375,750,75,,l,,1.986666667,
380,760,76,,l,,1.986842105,
385,770,77,,l,,1.987012987,
390,780,78,,l,,1.987179487,
395,790,79,,l,,1.987341772,
400,800,80,,l,,1.9875,
405,810,81,,l,,1.987654321,
410,820,82,,l,,1.987804878,
415,830,83,,l,,1.987951807,
420,840,84,,l,,1.988095238,
425,850,85,,l,,1.988235294,
430,860,86,,l,,1.988372093,
435,870,87,,l,,1.988505747,
440,880,88,,l,,1.988636364,
445,890,89,,l,,1.988764045,
450,900,90,,l,,1.988888889,
455,910,91,,l,,1.989010989,
460,920,92,,l,,1.989130435,
465,930,93,,l,,1.989247312,
470,940,94,,t,,1.989361702,1.989304506
475,950,95,,l,,1.989473684,
480,960,96,,l,,1.989583333,
485,970,97,,l,,1.989690722,
490,980,98,,l,,1.989795918,
495,990,99,,l,,1.98989899,
500,1000,100,,t,,1.99,1.989949494
reward_today,future_reward,delay,,key_resp.keys,,k,
