study_word,test_words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,test_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
piano,,0,0,0,4,,,,,0.25091279996559024,,0.17377859982661903,0.25091279996559024,0.25091279996559024,2.4459264997858554,1.4010416666666667,2.220245199976489,,,,,,,,,,,,,,,905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
cushion,,0,1,1,3,,,,,2.489299199776724,,2.4480324999894947,2.489299199776724,2.489299199776724,4.173693099990487,1.328125,1.665472200140357,,,,,,,,,,,,,,,905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
vase,,0,2,2,0,,,,,4.215372599894181,,4.174251099815592,4.215372599894181,4.215372599894181,5.65767339989543,1.4375,1.4218662998173386,,,,,,,,,,,,,,,905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
book,,0,3,3,2,,,,,5.739856199827045,,5.659127299906686,5.739856199827045,5.739856199827045,7.707509399857372,1.4635416666666667,1.9783554000314325,,,,,,,,,,,,,,,905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
tiger,,0,4,4,1,,,,,7.751025699777529,,7.708114399807528,7.751025699777529,7.751025699777529,9.782567899907008,2.0572916666666665,2.0241235999856144,,,,,,,,,,,,,,,905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,c_s_h_o_n,,,,,0,0,0,3,9.859530399786308,,,,,,,,9.808402699884027,9.859530399786308,9.859530399786308,9.859530399786308,0.03943490004166961,19.783950299955904,CUSHI,[],[],[],[],[],[],[],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,_o_s_,,,,,0,1,1,8,19.83359929989092,,,,,,,,19.788188399979845,19.83359929989092,19.83359929989092,19.83359929989092,0.013116399990394711,29.787855699891225,,[],[],[],[],[],[],[],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,o_a_n_e,,,,,0,2,2,9,29.854197199922055,,,,,,,,29.79171559982933,29.854197199922055,29.854197199922055,29.854197199922055,0.02312169992364943,35.7465086998418,ORANGE,[0.11979166666666667],[-0.3111979166666667],[1],[0],[0],[5.938004900002852],['test_3'],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,_p_a_d_,,,,,0,3,3,7,35.80717009981163,,,,,,,,35.75023759994656,35.80717009981163,35.80717009981163,35.80717009981163,0.022270599845796824,45.76147489994764,,[],[],[],[],[],[],[],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,t_g_r,,,,,0,4,4,1,45.81115399999544,,,,,,,,45.76364349992946,45.81115399999544,45.81115399999544,45.81115399999544,0.022936999797821045,49.955531099811196,TIGER,[-0.022135416666666668],[-0.3111979166666667],[1],[0],[0],[4.181921600131318],['test_3'],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,_a_e,,,,,0,5,5,0,50.002909999806434,,,,,,,,49.95813919999637,50.002909999806434,50.002909999806434,50.002909999806434,0.007672999985516071,60.00070769991726,C,[],[],[],[],[],[],[],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,c_m_r_,,,,,0,6,6,6,60.065982199972495,,,,,,,,60.00521729979664,60.065982199972495,60.065982199972495,60.065982199972495,0.0617253000382334,64.93973729992285,CAMERA,[-0.006510416666666667],[-0.3059895833333333],[1],[0],[0],[4.918953200103715],['test_3'],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,_oo_,,,,,0,7,7,2,64.98867079988122,,,,,,,,64.94199549988844,64.98867079988122,64.98867079988122,64.98867079988122,0.007664800155907869,68.88543779985048,BOOK,[-0.041666666666666664],[-0.30078125],[1],[0],[0],[3.9337307999376208],['test_3'],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
,_ia_n_,,,,,0,8,8,4,68.93972189980559,,,,,,,,68.89193029981107,68.93972189980559,68.93972189980559,68.93972189980559,0.020022899843752384,72.53296039998531,PIANO,[-0.032552083333333336],[-0.2942708333333333],[1],[0],[0],[3.6208103999961168],['test_3'],905474,001,2023-10-04_11h16.10.517,experiment 5,2023.2.1,59.59202106517257,2023-10-04 11h16.22.756277 +0530,
